fold,feature,importance
1,ChemEnv_std_TO_2:9,3.1275343592967664e-05
1,ChemEnv_std_TO_3:9,0.0
1,ChemEnv_std_PP:10,0.0
1,ChemEnv_std_PA:10,0.0013158100188654987
1,ChemEnv_std_SBSA:10,0.0
1,ChemEnv_std_MI:10,0.0019423150550789124
1,ChemEnv_std_BS_1:10,0.00011956153371827743
1,ChemEnv_std_BS_2:10,8.623834588382182e-06
1,ChemEnv_std_TBSA:10,0.0
1,ChemEnv_std_PCPA:11,4.2310994794068197e-07
1,ChemEnv_std_H:11,0.0
1,ChemEnv_std_DI:11,0.0007024871472329754
1,ChemEnv_std_I:12,6.190236504729307e-05
1,ChemEnv_std_PBP:12,0.0
1,ChemEnv_std_TT:12,0.0004735044212743328
1,ChemEnv_std_C:12,0.00020080264377314054
1,ChemEnv_std_AC:12,0.0005351444573210132
1,ChemEnv_std_HP:12,0.0
1,ChemEnv_std_HA:12,4.20960400748718e-08
1,ChemEnv_min_S:1,2.8591487381127645e-05
1,ChemEnv_min_L:2,0.0
1,ChemEnv_min_A:2,0.0
1,ChemEnv_min_TL:3,6.360836003867603e-05
1,ChemEnv_min_TY:3,0.0
1,ChemEnv_min_S:4,0.0
1,ChemEnv_min_SY:4,9.538402642798993e-07
1,ChemEnv_min_SS:4,0.0
1,ChemEnv_min_S:5,0.00042450788147071887
1,ChemEnv_min_T:5,1.922238047073872e-05
1,ChemEnv_min_O:6,0.0
1,ChemEnv_min_PB:7,0.0
1,ChemEnv_min_ST:7,0.0
1,ChemEnv_min_FO:7,0.0
1,ChemEnv_min_C:8,0.00034840154144609
1,ChemEnv_min_HB:8,1.3232765697549722e-06
1,ChemEnv_min_BO_1:8,0.0003528076747452739
1,ChemEnv_min_BO_2:8,5.388447492018595e-05
1,ChemEnv_min_TT_3:9,0.0
1,ChemEnv_min_SS:9,0.0
1,ChemEnv_min_TO_2:9,0.0
1,ChemEnv_min_PA:10,4.841606847646582e-06
1,ChemEnv_min_MI:10,0.0
1,ChemEnv_min_BS_1:10,1.0530667318977885e-06
1,ChemEnv_min_BS_2:10,0.0
1,ChemEnv_min_H:11,0.0
1,ChemEnv_min_I:12,1.966786406583123e-05
1,ChemEnv_min_C:12,0.03233266287338347
1,ChemEnv_min_AC:12,0.002756761523724341
1,ChemEnv_max_S:1,4.8989585219888474e-05
1,ChemEnv_max_L:2,4.192665905286965e-06
1,ChemEnv_max_A:2,0.0
1,ChemEnv_max_TL:3,0.00015136671088403155
1,ChemEnv_max_TY:3,1.1170206926705405e-05
1,ChemEnv_max_TS:3,4.1385744009379927e-07
1,ChemEnv_max_T:4,2.7680451528166843e-07
1,ChemEnv_max_S:4,2.038445185207549e-05
1,ChemEnv_max_SY:4,0.0
1,ChemEnv_max_SS:4,0.000714213728112316
1,ChemEnv_max_PP:5,0.0
1,ChemEnv_max_S:5,0.002832540143169132
1,ChemEnv_max_T:5,0.0005067373578551537
1,ChemEnv_max_O:6,5.536844750660612e-05
1,ChemEnv_max_T:6,5.3061977011062343e-05
1,ChemEnv_max_PP:6,0.0
1,ChemEnv_max_PB:7,0.0
1,ChemEnv_max_ST:7,6.6539861630202645e-06
1,ChemEnv_max_ET:7,0.0
1,ChemEnv_max_FO:7,1.0286103354117064e-06
1,ChemEnv_max_C:8,9.293384630094974e-05
1,ChemEnv_max_SA:8,0.0
1,ChemEnv_max_SBT:8,0.0004170188125692852
1,ChemEnv_max_TBT:8,0.0
1,ChemEnv_max_DD:8,1.1285759407195449e-05
1,ChemEnv_max_DDPN:8,2.352172447371259e-05
1,ChemEnv_max_HB:8,0.001751586076321014
1,ChemEnv_max_BO_1:8,8.06266789576812e-05
1,ChemEnv_max_BO_2:8,0.0
1,ChemEnv_max_BO_3:8,0.0005226512570541126
1,ChemEnv_max_TC:9,0.0
1,ChemEnv_max_TT_1:9,3.3237238886530126e-05
1,ChemEnv_max_TT_2:9,0.0
1,ChemEnv_max_TT_3:9,0.0
1,ChemEnv_max_TI:9,0.0
1,ChemEnv_max_SMA:9,7.60445956824398e-10
1,ChemEnv_max_SS:9,0.0
1,ChemEnv_max_TO_1:9,0.0
1,ChemEnv_max_TO_2:9,2.5212060151211694e-05
1,ChemEnv_max_TO_3:9,0.0
1,ChemEnv_max_PP:10,0.0
1,ChemEnv_max_PA:10,8.976051537488727e-06
1,ChemEnv_max_SBSA:10,0.0
1,ChemEnv_max_MI:10,0.0019520482983770582
1,ChemEnv_max_BS_1:10,0.0014642234103452439
1,ChemEnv_max_BS_2:10,3.283763973530579e-05
1,ChemEnv_max_TBSA:10,0.0
1,ChemEnv_max_PCPA:11,0.0
1,ChemEnv_max_H:11,4.085112455582879e-06
1,ChemEnv_max_DI:11,6.30350098076668e-05
1,ChemEnv_max_I:12,0.00016564197167705328
1,ChemEnv_max_PBP:12,0.0
1,ChemEnv_max_TT:12,0.00026583727297311026
1,ChemEnv_max_C:12,6.917094195250123e-05
1,ChemEnv_max_AC:12,0.003921015928553375
1,ChemEnv_max_HP:12,0.0
1,ChemEnv_max_HA:12,0.0
2,10-norm,0.009604718083513613
2,Cu,0.0008603983779384326
2,Pt,0.001446172065828698
2,MagpieData mean Number,0.0023273667505289107
2,MagpieData mean MendeleevNumber,0.003641580498087882
2,MagpieData mean AtomicWeight,8.225889553106057e-05
2,MagpieData mean MeltingT,0.0003613277826449758
2,MagpieData mean Column,0.00131897177603118
2,MagpieData mean Row,0.0009148656145722031
2,MagpieData mean CovalentRadius,0.0018505668865303377
2,MagpieData mean Electronegativity,0.0009340760053279725
2,MagpieData mean NdValence,0.0011256154324218496
2,MagpieData mean NfValence,0.0010945844400684283
2,MagpieData mean NValence,0.0007690164687290085
2,MagpieData mean NdUnfilled,0.0011491839728705914
2,MagpieData mean NUnfilled,0.0014679327488192932
2,MagpieData mean GSvolume_pa,0.001704561680376899
2,avg d valence electrons,0.0011093305276060781
2,avg f valence electrons,0.001480009696228675
2,frac s valence electrons,0.00148457209892922
2,frac d valence electrons,0.0015972758418417623
2,frac f valence electrons,0.002265543460486215
2,density,0.7649062415090128
2,vpa,0.06758536932603686
